index,o_label,keywords,score,adjusted_score,rank,label
45,2,"['전압 라인', '라인', '전압', '상기', '금속 배치', '금속', '상기 금속', '상기 전압', '전극', '라인 상기']",-6.506823702,-16.5068237,163,3
46,2,"['상기', '절연', '상기 절연', '전자 장치', '단계', '전자', '발광 소자', '포함 전자', '소자', '상기 이송']",-3.12079158,-13.12079158,110,2
47,2,"['상기', '발광 장치', '전극', '상기 전극', '발광', '전기 연결', '전기', '상기 상기', '전극 전기', '발광 소자']",-8.210449794,-18.21044979,192,4
48,2,"['상기', '상기 두께', '두께', '두께 상기', '발광 두께', '표시', '발광', '이하 표시', '표시 장치', '화소']",-7.185518936,-17.18551894,179,4
49,2,"['교류 전압', '교류', '상기', '상기 교류', '주파수', '전압', '상기 주파수', '유전율', '발광 소자', '복수 발광']",-6.38835682,-16.38835682,161,3
50,2,"['상기', '증착', '서브 금속', '전압', '금속', '대전', '증착 물질', '전극', '상기 증착', '노즐']",-4.288948446,-14.28894845,121,2
51,2,"['발광 영역', '상기', '발광', '영역', '상기 발광', '오프닝', '대각선', '대각선 방향', '영역 상기', '발광 표시']",-8.999289044,-18.99928904,199,4
52,2,"['그리드', '상기 복수', '마스크', '복수', '상기', '증착', '전류 전압', '마스크 그리드', '복수 배선', '복수 마스크']",-2.376489921,-12.37648992,106,2
53,2,"['특징 기판', '기판 처리', '상기 필터', '처리', '편광', '필터', '처리 방법', '상기', '자석', '특징']",-2.614702248,-12.61470225,107,2
54,2,"['상기', '노즐', '상기 노즐', '헤드', '조립', '상기 조립', '잉크젯', '단분자층', '조립 단분자층', '헤드 상기']",-0.485544742,-10.48554474,102,2
55,2,"['정보', '상기 정보', '정보 관리', '관리 모듈', '관리', '모듈', '상기', '대상 기기', '모듈 상기', '공유 영역']",-8.889631828,-18.88963183,197,4
56,2,"['상기', '사부', '상기 사부', '상부 부분', '하부 부분', '부분', '플레이트', '마스크 조립', '상기 플레이트', '장치 제조']",-1.911126768,-11.91112677,104,2
57,2,"['감시', '부품', '상기 감시', '상기', '감시 부품', '정부', '상기 정부', '가동', '시간', '데이터']",-4.507605193,-14.50760519,124,3
58,2,"['감마', '감마 데이터', '계측', '예측', '데이터', '장치 감마', '감마 보정', '상기 예측', '조에', '상기']",-5.200752374,-15.20075237,139,3
59,2,"['검사', '상기', '샘플', '상기 샘플', '불량 검사', '불량', '검사 장치', '터치', '상기 검사', '이미지']",-8.578393148,-18.57839315,196,4
60,2,"['상기', '발광 장치', '발광', '전극', '발광 소자', '소자', '상기 전극', '절연 패턴', '상기 발광', '베이스']",-7.311871395,-17.3118714,182,4
61,2,"['화학식', '나노입자', '상기', '코어', '나노입자 코어', '수송 영역', '전자', '수송', '전자 부품', '상기 전자']",-5.792756078,-15.79275608,146,3
62,2,"['연막', '상기 연막', '연막 산화물', '산화물 포함', '산화물', '상기', '연막 두께', '연막 상기', '마스크', '두께']",-4.14121986,-14.14121986,119,2
63,2,"['상기', '트랜지스터', '주사선', '영역', '서브', '전극', '서브 트랜지스터', '연결', '회로', '발광']",-4.715512273,-14.71551227,128,3
